intitulé,catégorie,entreprise,localisation,type_contrat,temps_contrat,date_publication,url,salaire,description
Plombier / plombier chauffagiste (H/F),Bâtiment / Travaux Publics,AQUILA RH,Nouvelle-Aquitaine,Intérim,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCLC,35H Travail en journée Salaire brut : Annuel de 21622.0 Euros à 26622.0 Euros sur 12.0 mois,"Aquila RH Lot et Garonne est une agence de recrutement CDD, CDI et intérim sur les secteurs industriels, logistique, transport et BTP .
Nos Agences basées, depuis plus de 8 ans sur Marmande et Agen,..."
Chauffeur PL Grue Auxiliaire (F/H),Bâtiment / Travaux Publics,ADEQUAT INTERIM,Auvergne-Rhône-Alpes,Intérim,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCKX,35H Travail en horaires décalés Salaire brut : Mensuel de 1833.0 Euros à 2250.0 Euros sur 12.0 mois,"Notre agence Adéquat de Voiron recrute au poste de Chauffeur PL Grue Auxiliaire (F/H) pour un client spécialisé dans les matériaux du gros oeuvre.

Missions :
- Effectuer le transport de marchandises..."
Technicien en Diagnostics Immobiliers (F/H) - Alternance    (H/F),Bâtiment / Travaux Publics,UP N PRO,Nouvelle-Aquitaine,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCKW,35H Travail en journée Salaire brut : Mensuel de 707.6 Euros à 1645.58 Euros sur 12.0 mois,"Diagnostiqueur immobilier - Formation BAC + 2 en alternance - En 1 an ou 2 ans -- H/F

RESUME DE L'OFFRE DE FORMATION ID SCHOOL : 

- Ton profil : appétence pour le domaine du bâtiment et de..."
Maçon VRD(H/F),Bâtiment / Travaux Publics,ABOUTIR EMPLOI OUEST,Pays de la Loire,Intérim,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCKB,35H Travail en journée Salaire brut : Horaire de 12.0 Euros à 14.0 Euros sur 12.0 mois,"Bonjour et bienvenue chez Aboutir Emploi Challans ! Nous recrutons, pour l'un de nos clients un Manoeuvre ouvrier VRD h/f. Descriptif des tâches : - pose de canalisations - creusement de tranchées..."
Technicien en Diagnostics Immobiliers (F/H) - Alternance    (H/F),Bâtiment / Travaux Publics,UP N PRO,Bourgogne-Franche-Comté,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCJR,35H Travail en journée Salaire brut : Mensuel de 707.6 Euros à 1645.58 Euros sur 12.0 mois,"Diagnostiqueur immobilier - Formation BAC + 2 en alternance - En 1 an ou 2 ans -- H/F

RESUME DE L'OFFRE DE FORMATION ID SCHOOL : 

- Ton profil : appétence pour le domaine du bâtiment et de..."
Plaquiste peintre (H/F),Bâtiment / Travaux Publics,R.PROJET BAT,Bourgogne-Franche-Comté,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCJN,39H Autre Salaire brut : Horaire de 11.88 Euros sur 12 mois,"Nous sommes une très petite entreprise spécialisée dans la rénovation tout corps d'état. Basée à Montferrand-le-Château, notre passion pour la rénovation de qualité et notre engagement envers la..."
Ouvrier de déconstruction de cloisons (H/F),Bâtiment / Travaux Publics,OLTRAV,Hauts-de-France,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCJK,35H Autre Salaire brut : Horaire de 11.88 Euros,"En équipe, vous êtes chargé de démolir des bureaux ( Cloisons alu, placo, chauffage, câbles..) afin de remettre à nu les plateaux en vue d'une réhabilitation des immeubles en logements.
Vous avez, de..."
Technicien en Diagnostics Immobiliers (F/H) - Alternance    (H/F),Bâtiment / Travaux Publics,UP N PRO,Nouvelle-Aquitaine,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCGY,35H Travail en journée Salaire brut : Mensuel de 707.6 Euros à 1645.58 Euros sur 12.0 mois,"Diagnostiqueur immobilier - Formation BAC + 2 en alternance - En 1 an ou 2 ans -- H/F

RESUME DE L'OFFRE DE FORMATION ID SCHOOL : 

- Ton profil : appétence pour le domaine du bâtiment et de..."
Technicien en Diagnostics Immobiliers (F/H) - Alternance    (H/F),Bâtiment / Travaux Publics,UP N PRO,Auvergne-Rhône-Alpes,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCGC,35H Travail en journée Salaire brut : Mensuel de 707.6 Euros à 1645.58 Euros sur 12.0 mois,"Diagnostiqueur immobilier - Formation BAC + 2 en alternance - En 1 an ou 2 ans -- H/F

RESUME DE L'OFFRE DE FORMATION ID SCHOOL : 

- Ton profil : appétence pour le domaine du bâtiment et de..."
Monteur Armaturier (H/F),Bâtiment / Travaux Publics,PRO ARMATURE SAVOIE,Auvergne-Rhône-Alpes,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCDY,39H Travail en journée Salaire brut : Primes,"Poste à pourvoir au mois d'octobre chez PROARMATURE. Le  recrutement se fera par la méthode de recrutement par simulation (MRS), sous la forme d'exercices. La première étape aura lieu le 19/09 à 10h..."
